left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,left_ankle_angle,right_ankle_angle,left_wrist_angle,right_wrist_angle,label
172.27056090163614,170.76699512202197,174.00039290228477,176.99433588320392,77.61121995051434,96.3715385966575,134.59933674420785,155.17945866451092,adho mukha svanasana
165.19985807114352,165.49864767270614,160.87584531885085,109.98310652189997,172.37892869070294,117.10812287080178,162.70755060012232,155.7882456890303,alonasana
166.53899271506415,161.74810416292144,102.7251753440803,157.3857242798486,120.41903805171455,81.97464301272323,175.92887380634062,177.00139032994528,Anjaneyasana
178.41764607738136,179.74229958099977,176.54296751901018,175.3197582205509,167.87585545103266,120.92520813274541,157.61986494804043,146.9846307798742,ardha chandrasana
157.06493746865735,164.14658079063364,108.1422941514372,105.3408907640049,166.83044189744643,164.5641381125332,162.34987578006985,166.39635067391401,ardha navasana
139.66864813745576,125.87097655910719,173.4480304636136,172.1131165952201,94.52840695464167,88.75463573323165,165.4655449194599,148.1857613021877,ardha pincha mayurasana
163.36119432957372,170.58437360845966,88.45184230102204,159.27027325930945,105.80586693728335,119.56035446468074,167.47119229084848,160.55996517182382,ashta chandrasana
164.78704718045478,173.38451766455427,12.916207922707411,12.223885070067027,128.2208245248499,136.05568128563007,119.7448812969422,113.86017519134235,baddha konasana
163.7127864464483,164.84403743593242,32.1025524710231,37.59483521224731,168.67910252620683,169.6778279256196,151.4562271621802,168.77754193055517,Balasana
160.8170434820715,169.63540989822567,93.12858167242838,89.36607790693611,161.77331882891147,146.04249468082563,179.60349574486688,158.1629366417642,dhanurasana
173.8782212265207,178.6857524728662,175.76466481616905,175.41466410143892,122.42581416397047,118.3274422007385,161.11844992152578,169.5429514052968,halasana
176.82914254449133,175.6024030306564,177.2562572972413,171.98728629241216,175.21345221527307,132.9263336479072,179.86494832432973,171.69357335528676,hanumasana
59.70190031540261,58.37939469371145,26.907362838150693,26.936328525510397,109.79156031860157,95.8578357467253,125.31121343963319,120.4130615588162,malasana
169.6585506106301,169.31655256911966,92.4135524888382,92.608230509245,165.2910117019333,173.22334425532952,123.36031128487022,102.90740867126584,marjaryasana
177.27368900609375,174.42780219603623,174.91833902191132,172.42586579871528,149.16954663514656,146.6705950385482,160.92490150755444,165.96375653207352,Navasana
176.64890425427996,152.54325771540013,166.4339564324798,109.43509319383483,161.14376627290937,129.52682953308064,179.68691142497934,159.81419699053518,parsva virabhadrasana
177.65228996820807,179.0077383999992,178.22427566500588,179.61698240561853,99.28786843804687,104.9741167947609,104.98986235968181,117.328949638008,phalakasana
94.64777057864677,101.11861452525989,174.58428036987527,168.7768385092016,155.12442285147952,137.79150977200547,154.3492573289872,162.53757131121392,salamba bhujangasana
62.24418647842052,76.47063092471406,171.5786356247366,172.73358769044358,151.39427764777267,153.75556717379783,163.54183435355242,167.94600832309106,salamba sarvangasana
162.57137949967773,155.4936043337613,61.591575261426335,61.46811227442654,109.49094509724452,116.63939365451336,158.692996483812,166.6314120151405,setu bandha sarvangasana
164.41559883309554,169.5899272408842,170.3256815485783,175.8653286262636,144.63753811293097,135.9548412538722,178.18169703554815,151.2796732021305,trikonasana
161.3860454788748,153.8258919715877,121.81607159577966,121.67434898006697,114.37363035312535,120.79744123863631,116.68010278853188,121.36853693614705,urdhva dhanurasana
166.02474190501187,169.53255588020215,174.80336701283483,173.41893406266527,141.34524680981878,138.02201774212796,110.49505984664515,100.3651668640757,Urdhva Mukha Svsnssana
179.47436539354237,177.8359645612875,100.62286728307589,94.15503325089901,169.60770773483543,153.2915902075389,169.2157021324374,171.2249442555203,ustrasana
165.35868027195556,176.3783905451206,178.29469512535317,179.4404886891258,108.21317784186581,176.3683268438396,179.65895772114115,176.57114265063225,Uthitha Hasta Padangusthasana
172.6547222488359,172.01067323360311,97.84510561006657,100.50392334926808,82.44419643408952,90.673403165217,139.37154666868398,145.00797980144134,utkatasana
175.26192108913506,165.47852972838228,177.53415546063272,178.33313291841444,174.45119121048415,173.00548208412525,141.1701750950296,179.12129927208832,Vasisthasana
176.63353933657018,175.13839353460227,175.7180204604077,110.03748335682909,151.72497635128363,113.4860938042481,180.0,178.95164741470262,virabhadrasana 2
167.12582728844268,167.88123966527482,71.66437511339194,136.84259518095467,108.31158067872667,162.0420081471984,164.3034741630907,169.7386252827656,virabhadrasana
128.44330504403788,125.02385339454041,49.970832305002716,179.31811998132724,140.06129925010632,171.3107110109652,176.4552335444051,172.45057823173673,vrksasana
